rxns,pgi1,pgi2,pgi4,pgi5,pgi6,pgi7,pgi8,pts1,pts2,pts3,pts4,sdh1,sdh2,sdh3,tpi1,tpi2,tpi3
BETALDHx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD2tpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDAPPA120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDAPPA140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDAPPA141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDAPPA160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDAPPA161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDAPPA180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDAPPA181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETALDHy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMOCOS,0.00007988,0.00006728,0.0000803,0.0000712,0.00008253,0.00007666,0.00007858,0.00006138,0.00008718,0.0000646,0.00009468,0.00010092,0.00010488,0.00010385,0.0000547,0.00005622,0.00005598
BMOGDS1,0.00007988,0.00006728,0.0000803,0.0000712,0.00008253,0.00007666,0.00007858,0.00006138,0.00008718,0.0000646,0.00009468,0.00010092,0.00010488,0.00010385,0.0000547,0.00005622,0.00005598
BMOGDS2,0.00007988,0.00006728,0.0000803,0.0000712,0.00008253,0.00007666,0.00007858,0.00006138,0.00008718,0.0000646,0.00009468,0.00010092,0.00010488,0.00010385,0.0000547,0.00005622,0.00005598
BPNT,0.17067733,0.14369317,0.17167603,0.15222976,0.17633874,0.16387093,0.16853926,0.13136318,0.1862887,0.13803523,0.203241,0.21563264,0.22410174,0.22190452,0.11685346,0.1201927,0.11961335
BSORx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSORy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDPMEK,0.00456275,0.00384154,0.00458944,0.00406958,0.0047141,0.00438097,0.00449396,0.00350537,0.00498008,0.00369012,0.00541318,0.00575571,0.00599095,0.00593221,0.00312386,0.00321316,0.00319765
BTNt2ipp,0.00000005,0,0,0,0.00000006,0,0,0,0,0,0,0,0,0,0,0,0
APG3PAT140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTNtex,0.00000005,0,0,0,0.00000006,0,0,0,0,0,0,0,0,0,0,0,0
BTS5,0.00000133,0.00000116,0.00000139,0.00000123,0.00000136,0.00000132,0.00000136,0.00000106,0.0000015,0.00000111,0.00000164,0.00000174,0.00000181,0.00000179,0.00000094,0.00000097,0.00000088
BUTCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFAS160E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFAS160G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFAS180E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUTSO3abcpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUTSO3tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CFAS180G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APG3PAT141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGLYabcpp,0,0,0,0,0,0.00000026,-0.00000044,-0.00000024,0,0,-0.00000075,-0.00000028,0,0,0,0.00000009,0
CGLYtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLabcpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLt2pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUTt2rpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUTtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWCOGDS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWCOGDS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWCOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA2t3pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA2tex,0.00341001,0.00287089,0.00342996,0.00304144,0.00352313,0.00327223,0.00336736,0.00262456,0.00372191,0.00275784,0.00406064,0.00430824,0.00447739,0.00443349,0.00233466,0.00240107,0.00238979
CADVtpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHORM,0.21638772,0.18217646,0.21765356,0.19299928,0.22356551,0.20775778,0.21368116,0.16654561,0.23617973,0.17500324,0.25767434,0.27338619,0.28411967,0.28133403,0.14814866,0.15238283,0.15164822
CHORS,0.25611175,0.21562006,0.25760997,0.22842971,0.26460722,0.24589797,0.25290566,0.19711728,0.27953714,0.20712998,0.3049732,0.32357219,0.33627783,0.33298077,0.17534549,0.18035621,0.17948749
CHRPL,0.00015356,0.00012928,0.00015446,0.00013696,0.00015865,0.00014775,0.0001512,0.00011795,0.00016761,0.00012419,0.00018211,0.00019373,0.00020163,0.00019965,0.00010502,0.00010814,0.00010762
CHTBSptspp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHTBStex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CINNDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITL,0.08479436,0,1.63916989,0.33669797,0.5938143,0.50535627,0.10046211,0,0.88371582,0.41922478,0,0.12780192,0.30946666,0.35390561,0.77958843,0.26354075,0.6831851
CLt3_2pp,0.00170501,0.00143545,0.00171498,0.00152072,0.00176156,0.00163611,0.00168368,0.00131228,0.00186096,0.00137892,0.00203032,0.00215412,0.00223869,0.00221674,0.00116733,0.00120053,0.0011949
CITt3pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APG3PAT160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITt7pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLtex,0.00341001,0.00287089,0.00342996,0.00304144,0.00352313,0.00327223,0.00336736,0.00262456,0.00372191,0.00275784,0.00406064,0.00430824,0.00447739,0.00443349,0.00233466,0.00240107,0.00238979
CMPN,0,0,0,0.00097482,0.00028732,0,0.0244864,0,0,0,0,0,0,0,0,0,0
CMPtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLIPAabctex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APG3PAT161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLPNH120pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLPNH140pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLPNH141pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMtpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO2tex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLPNH160pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000281,0
CO2tpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COBALT2abcpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COBALT2t3pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COBALT2tex,0.00001653,0.00001391,0.00001662,0.00001474,0.00001707,0.00001586,0.00001632,0.00001272,0.00001804,0.00001337,0.00001968,0.00002088,0.0000217,0.00002149,0.00001131,0.00001164,0.00001158
CLPNH161pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000495,0
CLPNH180pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLPNH181pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLPNS120pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLPNS140pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COBALT2tpp,0.00001653,0.00001391,0.00001662,0.00001474,0.00001707,0.00001586,0.00001632,0.00001272,0.00001804,0.00001337,0.00001968,0.00002088,0.0000217,0.00002149,0.00001131,0.00001164,0.00001158
APG3PAT180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLIPAKpp,0,-0.00000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLPNS141pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLPNS160pp,0.00202728,0.00170677,0.00203914,0.00180816,0.00209452,0.00194304,0.00200192,0.00156032,0.0022127,0.00163956,0.00241408,0.00256128,0.00266184,0.00263574,0.00138797,0.0014293,0.00142075
APG3PAT181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLPNS161pp,0.00157692,0.00132761,0.00158615,0.00140648,0.00162923,0.0015114,0.0015572,0.0012137,0.00172116,0.00127534,0.0018778,0.0019923,0.00207052,0.00205022,0.00107964,0.00111455,0.00110514
COLIPAPabctex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLIPAabcpp,0.00561289,0.00472548,0.00564572,0.00500621,0.00579907,0.00538904,0.00554268,0.00432003,0.00612627,0.00453941,0.00668382,0.00709142,0.00736979,0.00729753,0.00384283,0.00395264,0.00393361
APH120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLIPAabctex,0.00561289,0.0047255,0.00564572,0.00500621,0.00579907,0.00538896,0.00554268,0.00432003,0.00612627,0.00453941,0.00668382,0.00709137,0.00736979,0.00729753,0.00384283,0.00395268,0.00393361
CLPNS180pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APH140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLPNS181pp,0.00081256,0.0006841,0.00081732,0.00072474,0.00083952,0.0007788,0.0008024,0.0006254,0.00088689,0.00065716,0.0009676,0.0010266,0.00106691,0.00105645,0.00055632,0.00057176,0.00056946
CPGNR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APH141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APH160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPGNR2,0,0,0,0,0,0,-0.00000022,0,0,0,0,0,0,0,0,0.00000002,0
CPGNR3,0,0,0,0,0,0,0.00000022,0,0,0,0,0,0,0,0,-0.00000002,0
APH161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYANSTpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPGNUtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APH180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APH181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPGNUtpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APPLDHr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPGNabcpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPGNexs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPGNtonex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPH4S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPMPS,0.0001694,0.00014268,0.0001703,0.000151,0.00017502,0.00016256,0.00016668,0.00013018,0.00018488,0.000137,0.00020085,0.00021386,0.00022242,0.00022024,0.000116,0.00011922,0.00011872
CYANtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYNTAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYNTt2pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYNTtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYSDDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYSDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYSDabcpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYSDtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYSS,0.17067736,0.14369369,0.17167603,0.15222976,0.17633879,0.16383701,0.16853926,0.13136318,0.18628871,0.13803524,0.203241,0.21563264,0.22410175,0.22190453,0.11685404,0.12018676,0.11961335
CYSSADS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPPPGO,0.00023507,0.00025856,0.00030892,0.00027393,0.00024547,0.00029487,0.00030239,0.00023589,0.00033521,0.00024838,0.00036423,0.00038746,0.00040325,0.0003993,0.00021027,0.00021628,0.00017057
CPPPGO2,0.00007205,0.00006464,0.00007723,0.00006848,0.00007184,0.00007377,0.00007537,0.00005885,0.0000838,0.0000621,0.00009067,0.00009672,0.00010081,0.00009983,0.00005257,0.00005407,0.00004467
CRNBTCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRNCAL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRNCAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRNCBCT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYSTL,0.10763363,0.09061693,0.10826332,0.096,0.11120392,0.10334123,0.1062874,0.08284165,0.11747844,0.08704857,0.1281701,0.13598535,0.14132432,0.1399387,0.07369113,0.07579661,0.07543144
APRAUR,0.00030712,0.00025857,0.00030892,0.00027393,0.00031731,0.00029487,0.0003024,0.00023589,0.00033521,0.00024838,0.00036422,0.00038746,0.00040325,0.0003993,0.00021027,0.00021628,0.00021524
CYSTRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYSabc2pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRNCDH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRNDCAL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRNDabcpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYSabcpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYStex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARBTNR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYStpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYTBD2pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYTBDpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYTBO3_4pp,27.48063982,23.72323409,27.48498666,24.76401977,33.82927954,25.82701532,29.010399,21.58649325,28.34019825,19.39496617,30.38974859,25.61289042,29.60360054,25.79970431,27.54065282,25.2623969,26.3282929
CYTD,0,0,0,0,0.0000146,0,0,0,0,0,0,0,0,0,0,0,0
CRNDt2rpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRNDtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRNabcpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRNt2rpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRNt7pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYTDH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRNt8pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYTDK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARBTNR2,-0.00000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYTDt2pp_copy1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRNtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS,3.14480829,2.4168176,4.11257359,2.94945223,4.7856612,2.53744413,3.56417181,0.57718376,4.00996111,1.02572627,3.68772615,1.07525764,1.29412857,1.32891332,1.98364873,3.00649956,2.1448161
CSND,0,0,0,0.00097482,0.00028732,0,0.0244864,0,0,0,0,0,0,0,0,0,0
CYTDt2pp_copy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYTDtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSNt2pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARBTNR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSNtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTBTCAL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTBTabcpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYTK1,0.11279001,0.09495789,0.11344982,0.0996242,0.11622944,0.10829692,0.08688112,0.08680325,0.12310641,0.09121876,0.13429012,0.14249043,0.14809465,0.14664265,0.07722106,0.07945284,0.07904517
CYTK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_LACt2pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_LACtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTBTt2rpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTECOAI6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARBTNabcpp,-0.00000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTECOAI7,0,-0.0000002,-0.00000001,0,0,0,0,0,-0.00000002,-0.00000001,0,0,-0.00000001,-0.00000002,-0.00000021,0,0
CTECOAI8,0,-0.0000001,0,0,0,0.00005597,0,0,-0.00000001,0,0,0,-0.00000001,-0.00000001,-0.00000011,0.00001877,0
DAAD,0,0,0,0,0,0.0004845,0,0,0,0,0,0,0,0,0,0,0
DADA,0.00643839,0,0,0,0,0,0.0000554,0,0,0,0,0.09056593,0.02621461,0,0,0,0
DADK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DADNt2pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DADNtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAGK120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTPS2,0.10702287,0.09010271,0.10764896,0.0982918,0.11087485,0.10269642,0.13877042,0.08237154,0.1168118,0.09225654,0.12744276,0.1352135,0.14052235,0.1391446,0.07327297,0.07535644,0.07500346
CU1Opp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU1abcpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU2abcpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU2tex,0.00046413,0.00039075,0.00046684,0.00041396,0.00047952,0.00044537,0.00045832,0.00035722,0.00050658,0.00037536,0.00055268,0.00058638,0.0006094,0.00060343,0.00031776,0.0003268,0.00032527
DAGK140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARBTNexs,-0.00000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAGK141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAGK160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000281,0
CU2tpp,0.00046413,0.00039075,0.00046684,0.00041396,0.00047952,0.00044537,0.00045832,0.00035722,0.00050658,0.00037536,0.00055268,0.00058638,0.0006094,0.00060343,0.00031776,0.0003268,0.00032527
CUt3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAGK161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000495,0
ARBTNtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAGK180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAGK181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYANST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DALAt2pp,0.01974525,0.0141338,0.01870503,0.017779,0.01727555,0.01606889,0.01696527,0.01537726,0.01830277,0.01603855,0.01991124,0.02112534,0.02195475,0.02643045,0.01146981,0.01177772,0.0117183
ARBTNtonex,-0.00000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DALAtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMPtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCYTt2pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARBTNtpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCYTtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDCAtexi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAPAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAPDC,0.22961667,0.19331389,0.2309599,0.20479837,0.23723327,0.2204704,0.22674464,0.17672744,0.25061867,0.18570213,0.27342736,0.29009976,0.30148947,0.2985335,0.15720578,0.16169813,0.16091929
DAPE,0.24860655,0.20930145,0.25006087,0.22173572,0.25685307,0.23869209,0.245497,0.19134325,0.27134548,0.20106017,0.2960405,0.31409175,0.32642342,0.32322298,0.1702071,0.17507098,0.17422772
DAPabcpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDGALK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDGLCNt2rpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDGLCNtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDGLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDPA,0.25611175,0.21562006,0.25760997,0.22842971,0.26460722,0.24589797,0.25290566,0.19711728,0.27953714,0.20712998,0.3049732,0.32357219,0.33627783,0.33298077,0.18499947,0.18035621,0.17948749
DAPtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASYN120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASYN140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASYN141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASYN160,0.04176507,0.03516195,0.04200939,0.03725086,0.04315046,0.0400805,0.04124268,0.03214503,0.04558514,0.03377744,0.04973382,0.05276637,0.05483805,0.05430039,0.02859423,0.02941415,0.02926968
DDPGALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGMPtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASYN161,0.03248464,0.02734876,0.03267467,0.02897351,0.03356218,0.03119132,0.03207832,0.02500222,0.03545586,0.0262719,0.03868268,0.04104138,0.04265272,0.04223453,0.02224043,0.02288612,0.02276579
ARBTptspp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASYN180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASYN181,0.01674225,0.01409527,0.01684019,0.01493265,0.01729761,0.01606696,0.01653284,0.01288589,0.01827359,0.01354027,0.01993666,0.02115231,0.02198278,0.02176725,0.01146249,0.01179004,0.01173326
DGSNt2pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGSNtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHACOAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATPHs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB4PS,0.00061424,0.00051713,0.00061784,0.00054785,0.00063462,0.00058975,0.00060479,0.00047178,0.00067042,0.00049677,0.00072845,0.00077492,0.00080651,0.0007986,0.00042054,0.00043256,0.00043047
DHAD1,0.58500301,0.49251307,0.58842521,0.5217725,0.60440812,0.561673,0.57768584,0.45025451,0.63851061,0.4731203,0.69662116,0.73909733,0.76811606,0.76058501,0.40051908,0.41196441,0.40998012
ARBTtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHAD2,0.19439962,0.16366471,0.19553683,0.17338778,0.20084804,0.18664693,0.19196808,0.14962218,0.21218048,0.15722039,0.23149092,0.24560622,0.25524906,0.25274645,0.13309462,0.13689797,0.13623858
DHAPT,0.24477909,0,0,0,0,0,0,0,0,0,0,3.51235597,0.35917265,4.39000629,0,0,0
DBTS,0.00000133,0.00000116,0.00000139,0.00000123,0.00000136,0.00000132,0.00000136,0.00000106,0.0000015,0.00000111,0.00000164,0.00000174,0.00000181,0.00000179,0.00000094,0.00000097,0.00000088
DC6PH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCAtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHAtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARBabcpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHAtpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHBD,0.00046068,0.00038785,0.00046338,0.00041089,0.00047596,0.00044231,0.00045359,0.00035384,0.00050282,0.00037258,0.00054634,0.00058119,0.00060488,0.00059895,0.0003154,0.00032416,0.00032285
DHBS,0.00046068,0.00038785,0.00046338,0.00041089,0.00047596,0.00044231,0.00045359,0.00035384,0.00050282,0.00037258,0.00054634,0.00058119,0.00060488,0.00059895,0.0003154,0.00032416,0.00032285
DHBSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHCIND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCMPtex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCTPD,0,0,0,0.00186175,0,0,0,0,0,0,0,0,0,0,0,0,0
DCYTD,0,0,0,0,0,0,0.00859978,0,0,0.00570194,0,0,0,0,0,0,0
DHCINDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARBt2rpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHDPRy,0.24860655,0.20930145,0.25006087,0.22173572,0.25685307,0.23869208,0.245497,0.19134325,0.27134548,0.20106017,0.2960405,0.31409175,0.32642342,0.32322298,0.1702071,0.17507098,0.17422772
DHDPS,0.24860655,0.20930145,0.25006087,0.22173572,0.25685307,0.23869208,0.245497,0.19134325,0.27134548,0.20106017,0.2960405,0.31409175,0.32642342,0.32322298,0.1702071,0.17507098,0.17422772
ARBt3ipp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHFR,0.01769529,0.01489764,0.01779881,0.01578268,0.01828226,0.0169896,0.01747396,0.01361941,0.0193138,0.01431104,0.02107154,0.02235639,0.02323413,0.02300633,0.01211498,0.01246105,0.01240116
DHFS,0.00061424,0.00051713,0.00061784,0.00054785,0.00063462,0.00058975,0.00060656,0.00047276,0.00067043,0.00049677,0.00073144,0.00077604,0.00080651,0.0007986,0.00042054,0.00043242,0.00043047
FFSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
